Subject,Start Date,Start Time,Location,Description,End Date,End Time
Energy 101: Getting Schooled Up On Power Generation,2022/03/30,9:30 AM,Beatles Stage,"This is a crash course on energy as a whole. Chuck Yates and Collin McLelland take you through the different forms of energy and talk about the cheapest, most reliable source to use for bitcoin mining.",2022/03/30,09:50 AM
Keynote: Crusoe,2022/03/30,9:45 AM,Big Tent,Keynote by Cully Cavness,2022/03/30,10:05 AM
From Hash to Cash: The Economics of Bitcoin Mining,2022/03/30,10:15 AM,Beatles Stage,Why should anyone care about bitcoin mining? Is it profitable? How long does it take to become profitable?,2022/03/30,10:35 AM
Why Bitcoin Changes What We Know About Energy,2022/03/30,10:30 AM,Big Tent,"The energy industry has historically been a proximity and timing game. Find and exploit energy supply that can be transported economically to where/when the demand is needed. This is sounds simple but modern energy industry is staggering in its complexity and vastness. Explore how bitcoin comes into play with Max Gagliardi, Co-founder of Ancova.",2022/03/30,10:50 AM
Why Texas will be the Bitcoin Mining Capital of the World,2022/03/30,11:00 AM,Beatles Stage,Bitcoin experts say Texas is the world’s newest bitcoin mining capital. But why is that?,2022/03/30,11:20 AM
What the Hell is Bitcoin?,2022/03/30,11:15 AM,Big Tent,This is for all of the energy professionals who are trying to understand why bitcoin is relevant.,2022/03/30,11:35 AM
Energizing Bitcoin: On grid vs. Off grid,2022/03/30,1:15 PM,Beatles Stage,"What is the difference between mining on-grid or off-grid? Besides the obvious, there are pros and cons to both.",2022/03/30,01:35 PM
Bitcoin Mining for Dummies ,2022/03/30,1:30 PM,Big Tent,"By now you understand bitcoin, but what is bitcoin mining? Why does it need to happen? How does it happen? How is it helping the energy industry?",2022/03/30,01:50 PM
How Bitcoin Mining Solves the Oil and Gas Industry’s Flaring Problem,2022/03/30,2:00 PM,Beatles Stage,"In late 2020, Kraken Oil and Gas and Crusoe Energy announced a partnership. Crusoe Energy started with deploying 18 Digital Flare Mitigation (DFM) modules between three different Kraken sites.",2022/03/30,02:20 PM
Go big or go home: Building North America’s largest Bitcoin Mining Facility ,2022/03/30,2:15 PM,Big Tent,The opportunity for job creation and economic growth in rural Texas was the driving force behind Building North America’s Largest Bitcoin Mining Facility. They just didn’t know it at the time – hear Chad Harris’ story.,2022/03/30,02:35 PM
Deep Dive Into Mining Pools,2022/03/30,2:45 PM,Beatles Stage,What are bitcoin mining pools? Edward Evenson and Ethan Vera discuss the benefits of joining a mining pool and explain exactly how they work if you are unfamiliar.,2022/03/30,03:05 PM
Legitimizing Bitcoin - The Political Landscape,2022/03/30,3:00 PM,Big Tent,"Bitcoin is becoming big business in Washington. From a fringe curio to a widely followed industry, Bitcoin has gone mainstream. But how will legislators react at both the state and Federal levels?",2022/03/30,03:20 PM
Bitcoin Mining: Making E&Ps Wildcatters Again,2022/03/30,3:45 PM,Big Tent,"The oil and gas industry thrives on innovation. Bitcoin mining is a completely new way of monetizing oil and gas assets, enabling new business models and better returns.",2022/03/30,04:05 PM
